,id,tweet,username,photos,video,name,date,nlikes,nreplies,nretweets,cleaned_tweets
7587,1604502370708492288,"Final Piala Dunia 2022: Di Maria Gandakan Keunggulan, Argentina vs Prancis 2-0  https://t.co/yvj8GH1c2D",moneydotid,[],0,money.id,2022-12-18 22:42:30,0,0,0,final piala dunia 2022 maria ganda unggul argentina prancis
7588,1604502341461241857,yg taruhan ketar ketir wkwkwkk  #ArgentinaVsFrance #PialaDunia2022,fleurlovinxxx,[],0,🦄,2022-12-18 22:42:23,0,1,0,taruh ketar tir ketawa argentina france piala dunia202
7589,1604502325217087488, https://t.co/5zvljXnKoy . Di Mariaaaaaaaaaaa!!!!!! . . Messi x Di Maria . Penalti and Second Goals.  #FIFAWorldCup #PialaDunia2022  #WorldCup  #Qatar2022,PemujaKritis,[],1,Game/Badminton Addict,2022-12-18 22:42:19,3,0,0,maria messi maria penalti and second goals world cup piala dunia202 world cup qatar202
7590,1604502310088249345,Selamat argentina juara piala dunia qatar 2022. dan selamat @messi menjadi top scorer.,AndyRhamadan,[],0,Andy Rhamadan,2022-12-18 22:42:15,0,0,0,selamat argentina juara piala dunia qatar 2022 selamat messi top scorer
7591,1604502265922203649,MANTEP OM DIMARIA. 😭😭😭😭. AMPE GA BISA BERKATA-KATA LAGI. GOAL KEDUA ARGENTINA DI FINAL PIALA DUNIA. MELALUI KAKI DIMARIA DENGAN COUNTER ATTACK NYA.  #FIFAWorldCup  #PialaDunia2022  #pialadunia  #WorldCup,MFikri27Great,[],0,Fikri,2022-12-18 22:42:05,0,0,0,mantep maria ampe goal argentina final piala dunia kaki maria counter attack nya world cup piala dunia202 world cup
7592,1604502261211992064,Angel Di Maria menambah keunggulan Argentina melawan Perancis dalam final Piala Dunia 2022.   https://t.co/aLBkRbxlzt,tauberitamedia,[],0,tauberita,2022-12-18 22:42:03,0,0,0,angel maria tambah unggul argentina lawan perancis final piala dunia 2022
7593,1604502250914992128,Semangat Argentina Jura Piala dunia 2022 Qatar 👍  https://t.co/9ra9YTTHkA,wisnudeafan,['https://pbs.twimg.com/media/FkRWSewacAAUFlo.jpg'],1,Wisnudeafan,2022-12-18 22:42:01,2,0,0,semangat argentina jura piala dunia 2022 qatar
7594,1604502212763607040,5 Rekor Messi Mustahil Dilampaui Cristiano Ronaldo Jika Bawa Argentina Juara Piala Dunia 2022  https://t.co/oRr8HhPGEd Di Maria #WorldCup,TimurkotaCom,[],0,timurkota.com,2022-12-18 22:41:52,0,0,0,rekor messi mustahil lampau cristiano ronaldo bawa argentina juara piala dunia 2022 maria world cup
7595,1604502081163137024,"Nah ini baru final Ideal #ArgentinaVsFrance  #PialaDunia2022  Wasitnya ga fair sih.. neynggolnya dikit eh jatuhnya didramatisir...  Udah 2-0 aja ya Bund...  😂😂😂 Alamat byr makan + tiket  Avatar, secara gw megang Prancis hahaha But, Bola itu bundar, Jenderal... #FIFAWorldCup  https://t.co/cw7f2Pgb1t",SuperMumun,['https://pbs.twimg.com/media/FkRWIt4aUAEhvX2.jpg'],1,Mimi Maria,2022-12-18 22:41:21,19,0,0,final ideal argentina france piala dunia202 wasit fair sih neynggolnya dikit jatuh didramatisir udah aja bund alamat byr makan tiket avatar megang prancis ketawa but bola bundar jenderal world cup
7596,1604502062074859522,Bingung caranya nonton Live Streaming Piala Dunia.. #PialaDunia #PialaDunia2022 #PialaDuniaQatar2022,AkuCahBebas,[],0,Aku Cah Bebas,2022-12-18 22:41:16,1,0,0,bingung nonton live streaming piala dunia piala dunia piala dunia202 piala duniaqatar202
7597,1604502031929995264,Hasil penalty Messi #PialaDunia2022 #beranda #foryourpage #ArgentinaVsFrance #tweetfleet  https://t.co/aQaarI9lRP,recehanbucin,[],1,noname,2022-12-18 22:41:09,0,0,0,hasil penalty messi piala dunia202 argentina france
7598,1604502028113174528,Dapat jgk Messi bawak balik Piala Dunia 2022 sebelum bersara sementara itu Cristiano Ronaldo berlatih di Real Madrid #ARG 2 #FRA 0 #FIFAWorldCup #QATARWORLDCUP2022,DnnMzln,[],0,あどにん 🇵🇸,2022-12-18 22:41:08,0,0,1,jgk messi bawak piala dunia 2022 sara cristiano ronaldo latih real madrid world cup you p202
